ime,ulica,mesto,posta,regija,koordinate,center,dolzina,trajanje,pot
AVTO B DOMEN BENEDIK S.P.,Studeno 2,Studeno,4228 Železniki,GORENJSKA,46.22601584;14.17547069,0,42.4,39,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;1.09--LJUBLJANA;0.14--DVOR;0.02--LJUBLJANA;0.2--DVOR;0.25--STANEŽIČE;1.34--MEDNO;1.59--SENIČICA;0.12--GORENJSKA CESTA;3.36--SPODNJA SENICA;0.82--GORENJA VAS - RETEČE;0.24--PODREČA;0.26--GORENJA VAS - RETEČE;0.78--ZGORNJA SENICA;0.14--GORENJA VAS - RETEČE;0.86--RETEČE;1.01--GODEŠIČ;1.53--HAFNERJEVO NASELJE;1.09--LJUBLJANSKA CESTA;0.79--KIDRIČEVA CESTA;0.88--KAPUCINSKI TRG;0.61--PODLUBNIK;0.45--STARA LOKA;0.52--BINKELJ;0.1--ŠKOFJA LOKA;0.12--VEŠTER;0.01--ŠKOFJA LOKA;0.01--VEŠTER;0.02--ŠKOFJA LOKA;0.32--VEŠTER;2.77--PRAPROTNO;2.37--BUKOVICA;2.26--DOLENJA VAS;1.89--SELCA;2.49--STUDENO;1.14
AVTO MARKELJ AVTOSERVIS IN TRGOVINA SABINA MARKELJ S.P.,Brezje 78 A,Brezje,4243 Brezje,GORENJSKA,46.32903692;14.22760704,0,71.73,45,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;31.93--KRANJ ZAHOD;0.17--PRIKLJUČEK KRANJ ZAHOD;0.12--KRANJ;0.72--POLICA;0.82--NAKLO;0.07--KRANJSKA CESTA;0.11--KRANJSKA CESTA;0.11--NAKLO;3.18--PRIKLJUČEK NAKLO;0.14--A2;14.8--LESCE;0.13--PRIKLJUČEK LESCE;0.53--LESCE;2.0--LJUBLJANSKA CESTA;1.2--GREGORČIČEVA ULICA;0.15--KAJUHOVA CESTA;0.03--ZA POTOKOM;0.18--ZA POTOKOM;0.18--KAJUHOVA CESTA;0.03--GREGORČIČEVA ULICA;0.15--LJUBLJANSKA CESTA;1.2--LESCE;2.0--PRIKLJUČEK LESCE;0.36--A2;6.44--BREZJE;0.1--PRIKLJUČEK BREZJE;0.11--DOBRO POLJE;0.26--ČRNIVEC;0.35--;0.14--BREZJE;0.4
AVTO MONY D.O.O.,Alpska cesta 43,Lesce,4248 Lesce,GORENJSKA,46.36155821;14.15529653,0,70.48,41,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;50.94--LESCE;0.13--PRIKLJUČEK LESCE;0.53--LESCE;2.0--LJUBLJANSKA CESTA;1.2--GREGORČIČEVA ULICA;0.15--KAJUHOVA CESTA;0.03--ZA POTOKOM;0.18--ZA POTOKOM;0.18--KAJUHOVA CESTA;0.03--GREGORČIČEVA ULICA;0.15--LJUBLJANSKA CESTA;1.2--LESCE;2.0--PRIKLJUČEK LESCE;0.36--A2;6.44--BREZJE;0.1--PRIKLJUČEK BREZJE;0.11--DOBRO POLJE;0.26--ČRNIVEC;0.35--;0.14--BREZJE;0.4
AVTOHIŠA GOLOB D.O.O.,Poljče 4 B,Poljče,4275 Begunje na Gorenjskem,GORENJSKA,46.37593201;14.19369589,0,56.46,34,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;46.81--RADOVLJICA;0.65--PRIKLJUČEK RADOVLJICA;0.2--GORICA;0.4--RADOVLJICA;0.83--;0.1--NOVA VAS PRI LESCAH;1.69--ZAPUŽE;0.82--HLEBCE;0.08--POLJČE;1.28
AVTOMEHANIKA BOKALJ SIMON BOKALJ S.P.,Polica 18,Polica,4202 Naklo,GORENJSKA,46.26380886;14.33314546,0,36.84,21,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;31.93--KRANJ ZAHOD;0.17--PRIKLJUČEK KRANJ ZAHOD;0.12--KRANJ;0.72--POLICA;0.28
AVTOMEHANIKA VALANT BARBARA VALANT S.P.,Bodešče 17 A,Bodešče,4260 Bled,GORENJSKA,46.34717875;14.13563929,0,60.2,36,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;50.94--LESCE;0.13--PRIKLJUČEK LESCE;0.53--LESCE;2.0--LJUBLJANSKA CESTA;0.69--KORITNO;1.62--BODEŠČE;0.68
"AVTOMEHANIKA, NATAŠA ČEBAŠEK S.P.",Žerjavka 8 A,Žerjavka,4000 Kranj,GORENJSKA,46.20224712;14.40518402,0,32.73,23,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;22.43--BRNIK;0.32--PRIKLJUČEK BRNIK;0.31--;1.04--LETALIŠKA ULICA;0.51--NA VASI;0.18--VOGLJANSKA CESTA;0.55--VOKLO;1.17--;0.78--TRBOJE;1.47--ŽERJAVKA;0.34
AVTOSERVIS IN VULKANIZERSTVO ANDREJ KUNČIČ S.P.,Smokuč 17 E,Smokuč,4274 Žirovnica,GORENJSKA,46.38703496;14.16595602,0,59.35,34,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;50.94--LESCE;0.13--PRIKLJUČEK LESCE;0.53--LESCE;0.68--HRAŠKA CESTA;0.32--HRAŠE;0.76--SMOKUČ;0.7--RODINE;0.02--SMOKUČ;0.3--RODINE;0.39--SMOKUČ;0.96
"AVTOSERVIS LAVTAR, MIHAEL LAVTAR S.P.",Selca 175,Selca,4227 Selca,GORENJSKA,46.23499505;14.19967338,0,41.43,39,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;1.09--LJUBLJANA;0.14--DVOR;0.02--LJUBLJANA;0.2--DVOR;0.25--STANEŽIČE;1.34--MEDNO;1.59--SENIČICA;0.12--GORENJSKA CESTA;3.36--SPODNJA SENICA;0.82--GORENJA VAS - RETEČE;0.24--PODREČA;0.26--GORENJA VAS - RETEČE;0.78--ZGORNJA SENICA;0.14--GORENJA VAS - RETEČE;0.86--RETEČE;1.01--GODEŠIČ;1.53--HAFNERJEVO NASELJE;1.09--LJUBLJANSKA CESTA;0.79--KIDRIČEVA CESTA;0.88--KAPUCINSKI TRG;0.61--PODLUBNIK;0.45--STARA LOKA;0.52--BINKELJ;0.1--ŠKOFJA LOKA;0.12--VEŠTER;0.01--ŠKOFJA LOKA;0.01--VEŠTER;0.02--ŠKOFJA LOKA;0.32--VEŠTER;2.77--PRAPROTNO;2.37--BUKOVICA;2.26--DOLENJA VAS;1.89--SELCA;2.65
"AVTOTRI, KRANJ D.O.O.",Cesta na Rupo 87,Kranj,4000 Kranj,GORENJSKA,46.262683;14.35990802,0,37.87,22,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;31.93--KRANJ ZAHOD;0.17--PRIKLJUČEK KRANJ ZAHOD;0.12--KRANJ;0.59--BLEIWEISOVA CESTA;0.03--KRANJ;0.8--CESTA NA BRDO;0.15--CESTA NA RUPO;0.47
"BOLTEZ, D.O.O.",Cesta Staneta Žagarja 58 C,Kranj,4000 Kranj,GORENJSKA,46.24310162;14.36913471,0,79.78,48,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;50.94--LESCE;0.13--PRIKLJUČEK LESCE;0.53--LESCE;2.0--LJUBLJANSKA CESTA;1.2--GREGORČIČEVA ULICA;0.15--KAJUHOVA CESTA;0.03--ZA POTOKOM;0.18--ZA POTOKOM;0.18--KAJUHOVA CESTA;0.03--GREGORČIČEVA ULICA;0.15--LJUBLJANSKA CESTA;1.2--LESCE;2.0--PRIKLJUČEK LESCE;0.36--A2;6.44--BREZJE;0.1--PRIKLJUČEK BREZJE;0.11--DOBRO POLJE;0.26--ČRNIVEC;0.35--;0.14--BREZJE;0.4--BREZJE;0.4--;0.14--ČRNIVEC;0.38--PRIKLJUČEK BREZJE;0.24--A2;6.3--LESCE;0.13--PRIKLJUČEK LESCE;0.53--LESCE;0.6--ALPSKA CESTA;0.42--;0.14
"BRELIH, D.O.O.,",Suha 29,Suha,4220 Škofja Loka,GORENJSKA,46.16506215;14.32542709,0,26.31,24,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;1.09--LJUBLJANA;0.14--DVOR;0.02--LJUBLJANA;0.2--DVOR;0.25--STANEŽIČE;1.34--MEDNO;1.59--SENIČICA;0.12--GORENJSKA CESTA;3.36--SPODNJA SENICA;0.82--GORENJA VAS - RETEČE;0.24--PODREČA;0.26--GORENJA VAS - RETEČE;0.78--ZGORNJA SENICA;0.14--GORENJA VAS - RETEČE;0.86--RETEČE;1.01--GODEŠIČ;1.53--HAFNERJEVO NASELJE;1.09--SUHA;0.63
"ČOP, D.O.O.",Ulica heroja Verdnika 23 A,Jesenice,4270 Jesenice,GORENJSKA,46.43433011;14.04836623,0,66.93,37,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;58.87--JESENICE - VZHOD;0.17--PRIKLJUČEK JESENICE - VZHOD;0.14--LIPCE;0.64--PODKOČNA;0.62--CESTA 1. MAJA;2.42--ULICA FRANCA JERALA;0.01--ULICA HEROJA VERDNIKA;0.46
GUMI SERVIS BOŠTJAN FERLAN S.P.,Poljanska cesta 120,Gorenja vas,4224 Gorenja vas,GORENJSKA,46.10517718;14.14557841,0,34.23,36,TRŽAŠKA CESTA;1.63--VRHNIŠKA CESTA;1.14--LJUBLJANSKA CESTA;1.12--LOŠKA CESTA;2.66--LESNO BRDO;1.76--DRENOV GRIČ;0.61--LESNO BRDO;2.69--ZAKLANEC;1.19--LJUBLJANSKA CESTA;1.56--LJUBGOJNA;0.75--VRZDENEC;2.79--SAMOTORICA;0.01--VRZDENEC;0.17--SAMOTORICA;0.02--VRZDENEC;0.26--SAMOTORICA;0.06--VRZDENEC;0.08--SAMOTORICA;0.01--VRZDENEC;0.04--SAMOTORICA;1.36--ŠENTJOŠT NAD HORJULOM;0.15--BUTAJNOVA;0.63--ŠENTJOŠT NAD HORJULOM;0.03--BUTAJNOVA;0.32--ŠENTJOŠT NAD HORJULOM;0.02--BUTAJNOVA;0.52--ŠENTJOŠT NAD HORJULOM;2.24--PLANINA NAD HORJULOM;0.21--GOLI VRH;0.47--DOLGE NJIVE;0.68--LUČINE;1.04--PRELESJE;0.06--LUČINE;0.03--PRELESJE;1.18--BREBOVNICA;0.02--PRELESJE;0.03--BREBOVNICA;0.28--PRELESJE;0.1--BREBOVNICA;2.04--ŽIROVSKI VRH SV. URBANA;0.01--TODRAŽ;1.53--GORENJA DOBRAVA;1.36--DOLENJA DOBRAVA;0.52--SESTRANSKA VAS;0.55--GORENJA VAS;0.29
JENKO D.O.O.,Virmaše 195,Virmaše,4220 Škofja Loka,GORENJSKA,46.18055683;14.32253097,0,27.75,25,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;1.09--LJUBLJANA;0.14--DVOR;0.02--LJUBLJANA;0.2--DVOR;0.25--STANEŽIČE;1.34--MEDNO;1.59--SENIČICA;0.12--GORENJSKA CESTA;3.36--SPODNJA SENICA;0.82--GORENJA VAS - RETEČE;0.24--PODREČA;0.26--GORENJA VAS - RETEČE;0.78--ZGORNJA SENICA;0.14--GORENJA VAS - RETEČE;0.86--RETEČE;1.01--GODEŠIČ;1.53--HAFNERJEVO NASELJE;1.09--LJUBLJANSKA CESTA;0.76--KIDRIČEVA CESTA;0.28--GRENC;0.48--VIRMAŠE;0.55
"JERALA PROFIL, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL, D.O.O.",Virmaše 189,Virmaše,4220 Škofja Loka,GORENJSKA,46.18022188;14.32371379,0,27.66,25,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;1.09--LJUBLJANA;0.14--DVOR;0.02--LJUBLJANA;0.2--DVOR;0.25--STANEŽIČE;1.34--MEDNO;1.59--SENIČICA;0.12--GORENJSKA CESTA;3.36--SPODNJA SENICA;0.82--GORENJA VAS - RETEČE;0.24--PODREČA;0.26--GORENJA VAS - RETEČE;0.78--ZGORNJA SENICA;0.14--GORENJA VAS - RETEČE;0.86--RETEČE;1.01--GODEŠIČ;1.53--HAFNERJEVO NASELJE;1.09--LJUBLJANSKA CESTA;0.76--KIDRIČEVA CESTA;0.28--GRENC;0.48--VIRMAŠE;0.47
"JERŠIN 2, D.O.O.,",Jezerska cesta 2,Kranj,4000 Kranj,GORENJSKA,46.24508669;14.3668815,0,33.04,20,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;25.97--KRANJ VZHOD;0.2--PRIKLJUČEK KRANJ VZHOD;0.13--ŠENČUR;0.14--POSLOVNA CONA D;0.09--ŠENČUR;0.43--KRANJ;1.31--CESTA STANETA ŽAGARJA;1.13--JEZERSKA CESTA;0.04
KLEMENC DANIELA S.P.,Ulica Ivana Hribarja 7,Cerklje na Gorenjskem,4207 Cerklje na Gorenjskem,GORENJSKA,46.25368874;14.48639402,0,104.42,63,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;50.94--LESCE;0.13--PRIKLJUČEK LESCE;0.53--LESCE;2.0--LJUBLJANSKA CESTA;1.2--GREGORČIČEVA ULICA;0.15--KAJUHOVA CESTA;0.03--ZA POTOKOM;0.18--ZA POTOKOM;0.18--KAJUHOVA CESTA;0.03--GREGORČIČEVA ULICA;0.15--LJUBLJANSKA CESTA;1.2--LESCE;2.0--PRIKLJUČEK LESCE;0.36--A2;6.44--BREZJE;0.1--PRIKLJUČEK BREZJE;0.11--DOBRO POLJE;0.26--ČRNIVEC;0.35--;0.14--BREZJE;0.4--BREZJE;0.4--;0.14--ČRNIVEC;0.38--PRIKLJUČEK BREZJE;0.24--A2;6.3--LESCE;0.13--PRIKLJUČEK LESCE;0.53--LESCE;0.6--ALPSKA CESTA;0.42--;0.14--;0.14--ALPSKA CESTA;0.41--LESCE;0.54--PRIKLJUČEK LESCE;0.36--A2;18.56--KRANJ ZAHOD;0.2--PRIKLJUČEK KRANJ ZAHOD;0.15--KRANJ;0.69--KOROŠKA CESTA;1.66--KIDRIČEVA CESTA;0.53--OLDHAMSKA CESTA;0.55--CESTA STANETA ŽAGARJA;0.48--LIKOZARJEVA ULICA;0.08--LUZNARJEVA ULICA;0.28
"KRISTANC, D.O.O.",Britof 45,Britof,4000 Kranj,GORENJSKA,46.26133383;14.38815077,0,34.46,22,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;25.97--KRANJ VZHOD;0.2--PRIKLJUČEK KRANJ VZHOD;0.13--ŠENČUR;0.14--POSLOVNA CONA D;0.09--ŠENČUR;0.43--KRANJ;2.72--BRITOF;1.18
"MOBILNI VULKANIZERSKI SERVIS, JOŽE KLEMENC S.P.",Bobovek 18,Bobovek,4000 Kranj,GORENJSKA,46.27533316;14.36476965,0,38.45,23,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;31.93--KRANJ ZAHOD;0.17--PRIKLJUČEK KRANJ ZAHOD;0.12--KRANJ;0.59--BLEIWEISOVA CESTA;0.03--KRANJ;0.43--CESTA NA BRDO;0.76--CESTA NA BELO;0.41--BOBOVEK;0.4
REKOL D.O.O.,Podreča 116,Podreča,4211 Mavčiče,GORENJSKA,46.17160048;14.41018871,0,21.09,19,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;1.09--LJUBLJANA;0.14--DVOR;0.02--LJUBLJANA;0.2--DVOR;0.25--STANEŽIČE;1.34--MEDNO;1.59--SENIČICA;0.12--GORENJSKA CESTA;2.54--ZBILJSKA CESTA;0.92--ZBILJE;0.99--PODREČA;1.07
REŠEK RADO S.P.,Frankovo naselje 150,Škofja Loka,4220 Škofja Loka,GORENJSKA,46.17244889;14.33467478,0,25.71,23,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;1.09--LJUBLJANA;0.14--DVOR;0.02--LJUBLJANA;0.2--DVOR;0.25--STANEŽIČE;1.34--MEDNO;1.59--SENIČICA;0.12--GORENJSKA CESTA;3.36--SPODNJA SENICA;0.82--GORENJA VAS - RETEČE;0.24--PODREČA;0.26--GORENJA VAS - RETEČE;0.78--ZGORNJA SENICA;0.14--GORENJA VAS - RETEČE;0.86--RETEČE;1.01--GODEŠIČ;1.53--HAFNERJEVO NASELJE;0.28--KIDRIČEVA CESTA;0.62--HAFNERJEVO NASELJE;0.23
VULKANIZERSTVO PETER PERDAN S.P.,Prebačevo 59 A,Prebačevo,4000 Kranj,GORENJSKA,46.20890431;14.3980753,0,32.15,22,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;22.43--BRNIK;0.32--PRIKLJUČEK BRNIK;0.31--;1.04--LETALIŠKA ULICA;0.51--NA VASI;0.18--VOGLJANSKA CESTA;0.55--VOKLO;1.49--;0.9--PREBAČEVO;0.79
VULKANIZERSTVO ŽEMLJA ŽEMLJA JANEZ ML. S.P.,Zabreznica 20 A,Zabreznica,4274 Žirovnica,GORENJSKA,46.3976437;14.14766675,0,59.55,34,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;50.94--LESCE;0.13--PRIKLJUČEK LESCE;0.53--LESCE;0.83--STUDENČICE;0.78--VRBA;1.65--;0.08--BREZNICA;0.66--ZABREZNICA;0.35
"VULKANIZERSTVO, DARKO BENEDIČIČ S.P.",Žiganja vas 27,Žiganja vas,4294 Križe,GORENJSKA,46.32155664;14.29585092,0,44.58,27,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;36.01--NAKLO;0.56--ŽEJE;1.05--SPODNJE DUPLJE;0.86--ZGORNJE DUPLJE;1.09--ZADRAGA;0.22--ŽIGANJA VAS;0.91--;0.11--ŽIGANJA VAS;0.16
"AVTOSERVIS IN VULKANIZERSTVO HUDO, JAN HUDOBIVNIK S.P.",Koroška cesta 53 D,Kranj,4000 Kranj,GORENJSKA,46.24681319;14.35053424,0,115.92,76,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;50.94--LESCE;0.13--PRIKLJUČEK LESCE;0.53--LESCE;2.0--LJUBLJANSKA CESTA;1.2--GREGORČIČEVA ULICA;0.15--KAJUHOVA CESTA;0.03--ZA POTOKOM;0.18--ZA POTOKOM;0.18--KAJUHOVA CESTA;0.03--GREGORČIČEVA ULICA;0.15--LJUBLJANSKA CESTA;1.2--LESCE;2.0--PRIKLJUČEK LESCE;0.36--A2;6.44--BREZJE;0.1--PRIKLJUČEK BREZJE;0.11--DOBRO POLJE;0.26--ČRNIVEC;0.35--;0.14--BREZJE;0.4--BREZJE;0.4--;0.14--ČRNIVEC;0.38--PRIKLJUČEK BREZJE;0.24--A2;6.3--LESCE;0.13--PRIKLJUČEK LESCE;0.53--LESCE;0.6--ALPSKA CESTA;0.42--;0.14--;0.14--ALPSKA CESTA;0.41--LESCE;0.54--PRIKLJUČEK LESCE;0.36--A2;18.56--KRANJ ZAHOD;0.2--PRIKLJUČEK KRANJ ZAHOD;0.15--KRANJ;0.69--KOROŠKA CESTA;1.66--KIDRIČEVA CESTA;0.53--OLDHAMSKA CESTA;0.55--CESTA STANETA ŽAGARJA;0.48--LIKOZARJEVA ULICA;0.08--LUZNARJEVA ULICA;0.28--LUZNARJEVA ULICA;0.28--LIKOZARJEVA ULICA;0.08--CESTA STANETA ŽAGARJA;1.13--KRANJ;1.31--ŠENČUR;0.43--POSLOVNA CONA D;0.09--ŠENČUR;0.11--MLAKARJEVA ULICA;0.73--ŠENČUR;2.04--SREDNJA VAS PRI ŠENČURJU;0.35--PRAPROTNA POLICA;1.37--VAŠCA;0.11--;2.34--VAŠCA;0.36--CESTA JANEZA BOBNARJA;0.34--SLOVENSKA CESTA;0.23--TRG DAVORINA JENKA;0.12--ULICA IVANA HRIBARJA;0.08
"PIPKO, ANŽE PIPAN S.P.PE PIPKO",Pipanova cesta 38,Šenčur,4208 Šenčur,GORENJSKA,46.24641173;14.42036132,0,31.79,19,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;25.97--KRANJ VZHOD;0.2--PRIKLJUČEK KRANJ VZHOD;0.13--ŠENČUR;0.06--;0.91--KRANJSKA CESTA;0.54--PIPANOVA CESTA;0.38
"ALPETOURBANDAG, SERVISNE STORITVE IN PRODAJA D.O.O.",Kidričeva cesta 55,Škofja Loka,4220 Škofja Loka,GORENJSKA,46.17270186;14.33329892,0,26.0,23,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;1.09--LJUBLJANA;0.14--DVOR;0.02--LJUBLJANA;0.2--DVOR;0.25--STANEŽIČE;1.34--MEDNO;1.59--SENIČICA;0.12--GORENJSKA CESTA;3.36--SPODNJA SENICA;0.82--GORENJA VAS - RETEČE;0.24--PODREČA;0.26--GORENJA VAS - RETEČE;0.78--ZGORNJA SENICA;0.14--GORENJA VAS - RETEČE;0.86--RETEČE;1.01--GODEŠIČ;1.53--HAFNERJEVO NASELJE;0.28--KIDRIČEVA CESTA;1.14
"VULKANIZERSTVO BIČOP, BARBARA PAVLINJEK S.P.",Ulica heroja Verdnika 23 A,Jesenice,4270 Jesenice,GORENJSKA,46.43433011;14.04836623,0,66.93,37,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;58.87--JESENICE - VZHOD;0.17--PRIKLJUČEK JESENICE - VZHOD;0.14--LIPCE;0.64--PODKOČNA;0.62--CESTA 1. MAJA;2.42--ULICA FRANCA JERALA;0.01--ULICA HEROJA VERDNIKA;0.46
"VULKANIZERSTVO BOSANC, SANEL KALTAK S.P.",Vodnikova ulica 5,Lesce,4248 Lesce,GORENJSKA,46.2302014;15.26371309,0,88.61,50,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;66.96--CELJE - CENTER;0.21--PRIKLJUČEK CELJE - CENTER;0.22--MARIBORSKA CESTA;2.39--AŠKERČEVA ULICA;0.14--LEVSTIKOVA ULICA;0.11--STANETOVA ULICA;0.08--MIKLOŠIČEVA ULICA;0.11--KOCBEKOVA ULICA;0.18
JEREB RAJKO S.P.,Potoška vas 44 A,Potoška vas,1410 Zagorje ob Savi,ZASAVSKA,46.15020587;15.00675435,0,65.83,45,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;31.98--TROJANE;0.14--V ZIDEH;0.23--PREDOR V ZIDEH;0.31--V ZIDEH;0.38--POLŠINA;0.46--HRASTNIK PRI TROJANAH;0.21--POLŠINA;0.01--HRASTNIK PRI TROJANAH;0.14--POLŠINA;0.47--HRASTNIK PRI TROJANAH;0.11--POLŠINA;0.02--HRASTNIK PRI TROJANAH;0.05--POLŠINA;0.04--HRASTNIK PRI TROJANAH;0.02--POLŠINA;0.07--HRASTNIK PRI TROJANAH;0.01--POLŠINA;0.13--OREHOVICA;1.64--PODLIPOVICA;0.69--MEDIJSKE TOPLICE;0.42--IZLAKE;0.71--OBREZIJA;0.79--SPODNJE IZLAKE;0.96--IZLAKE;0.32--LOKE PRI ZAGORJU;0.99--BOROVNIŠKO NASELJE;0.48--TRG POHORSKEGA BATALJONA;0.17--RUDARSKA CESTA;0.08--PETELINKARJEVA CESTA;0.38--PODKRAJ PRI ZAGORJU;0.11--LOKE PRI ZAGORJU;0.04--PODKRAJ PRI ZAGORJU;0.4--LOKE PRI ZAGORJU;0.48--PODVINE;0.61--KOPALIŠKA ULICA;0.67--PREČNA POT;0.06--CESTA ZMAGE;0.14--CESTA BORISA KIDRIČA;0.03--CESTA 9. AVGUSTA;1.39--SELO PRI ZAGORJU;0.36--POTOŠKA VAS;0.93
JPS MM D.O.O.,Trg revolucije 8 B,Trbovlje,1420 Trbovlje,ZASAVSKA,46.14623952;15.04039756,0,70.0,48,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;31.98--TROJANE;0.14--V ZIDEH;0.23--PREDOR V ZIDEH;0.31--V ZIDEH;0.38--POLŠINA;0.46--HRASTNIK PRI TROJANAH;0.21--POLŠINA;0.01--HRASTNIK PRI TROJANAH;0.14--POLŠINA;0.47--HRASTNIK PRI TROJANAH;0.11--POLŠINA;0.02--HRASTNIK PRI TROJANAH;0.05--POLŠINA;0.04--HRASTNIK PRI TROJANAH;0.02--POLŠINA;0.07--HRASTNIK PRI TROJANAH;0.01--POLŠINA;0.13--OREHOVICA;1.64--PODLIPOVICA;0.69--MEDIJSKE TOPLICE;0.42--IZLAKE;0.71--OBREZIJA;0.79--SPODNJE IZLAKE;0.96--IZLAKE;0.32--LOKE PRI ZAGORJU;0.99--BOROVNIŠKO NASELJE;0.48--TRG POHORSKEGA BATALJONA;0.17--RUDARSKA CESTA;0.08--PETELINKARJEVA CESTA;0.38--PODKRAJ PRI ZAGORJU;0.11--LOKE PRI ZAGORJU;0.04--PODKRAJ PRI ZAGORJU;0.4--LOKE PRI ZAGORJU;0.48--PODVINE;0.61--KOPALIŠKA ULICA;0.67--PREČNA POT;0.06--CESTA ZMAGE;0.14--CESTA BORISA KIDRIČA;0.03--CESTA 9. AVGUSTA;1.39--SELO PRI ZAGORJU;1.44--PRAPREČE - DEL;0.05--SELO PRI ZAGORJU;0.02--PRAPREČE - DEL;0.3--TRBOVLJE;0.14--PRAPREČE - DEL;0.01--TRBOVLJE;0.14--BEVŠKO;1.66--KOLODVORSKA CESTA;0.17--VODENSKA CESTA;1.23--TRG REVOLUCIJE;0.3
